SPECIES,y,P_oof_mean,P_oof_sd_across_repeats
Pelargonium sidoides,1,0.244,0.0368
Quassia amara,1,0.6858,0.0256
Himatanthus sucuuba,1,0.64,0.0409
Pimpinella anisum,1,0.3261,0.0276
Tinospora sinensis,1,0.7902,0.0178
Apium graveolens,0,0.4661,0.0313
Psychotria zombamontana Kuntze,1,0.4782,0.0224
Cremaspora triflora,1,0.4826,0.0188
Warburgia ugandensis,1,0.3848,0.0368
Psiadia punctulata,1,0.5174,0.0196
Chasmanthera dependens,1,0.6127,0.0216
Urtica dioica ,1,0.6668,0.0265
Andrographis paniculata,0,0.4578,0.0267
Tridax procumbens,0,0.3951,0.0477
Dalbergia odorifera,0,0.3564,0.0309
Curcuma longa,0,0.8119,0.0113
Croton cajucara,1,0.598,0.0274
Chenopodium  ambrosioides ,0,0.5675,0.0294
Spiranthera odoratíssima,1,0.4085,0.0231
Eugenia uniflora,0,0.5096,0.0318
Asphodelus microcarpus,1,0.5484,0.0557
Pistacia vera,0,0.3276,0.0266
Ziziphora tenuior (Z. tenuior) ,0,0.3567,0.0279
Withania somnifera,1,0.7604,0.0213
Morus alba,0,0.4086,0.0268
Cedrus deodara,1,0.4478,0.0212
Calophyllum brasiliense,0,0.2719,0.0399
Humulus lupulus L,0,0.1768,0.0138
Triticum aestivum,0,0.1821,0.0313
Coccinia grandis,1,0.8291,0.0195
Echinacea purpurea,0,0.3409,0.0311
"Desmodium
gangeticum",1,0.5916,0.0362
Calendula officinalis,0,0.3785,0.0363
Zingiber officinale,1,0.7427,0.0316
Couroupita guianensis,0,0.2985,0.0232
Mimosa scabrella,1,0.6952,0.0302
Psidium guajava ,0,0.522,0.0212
Croton Cajucara(red sacaca),1,0.7117,0.025
Solanum nudum,1,0.8038,0.0237
Artemisia nilagrica,1,0.5508,0.0327
Camellia japonica,0,0.2872,0.032
potato tuber,1,0.8229,0.0163
Calotropis procera,0,0.6611,0.0293
Crocus sativus,1,0.6104,0.0341
Nerium oleander,0,0.2232,0.024
Achyranthes bidentata,1,0.4646,0.039
Cuminum cyminum Linn,0,0.343,0.0242
Ceratonia siliqua,0,0.5412,0.0339
Limoniastrum guyonianum,1,0.4046,0.022
Zataria multiflora,1,0.1636,0.0138
Daphne oleoides Schreb. subsp. Oleoides,0,0.284,0.0241
Thymus vulgaris,0,0.315,0.0315
Eucalyptus globulus Labil,0,0.4019,0.0347
Angelica sinensis & Sophora flavescens,0,0.2387,0.0288
Astragalus membranaceus ,0,0.2434,0.0261
Scutellaria baicalensis ,0,0.5437,0.0556
Ilex asprella,1,0.4043,0.032
Isatis indigotica Fort.,0,0.3465,0.0464
Eucommia ulmoides,0,0.4464,0.0322
Phytolacca acinosa ,0,0.2122,0.0257
Corydalis turtschaninovi,0,0.3552,0.0319
Aconitum carmichaelii,0,0.2001,0.0141
Coptis chinensis,0,0.2584,0.0262
Trillium tschonoskii,0,0.2593,0.0155
Glycyrrhiza glabra,1,0.3681,0.0221
 Artemisia argyi,0,0.1939,0.0139
Anemarrhena asphodeloides,0,0.2347,0.0198
Cinnamomum verum,1,0.4907,0.038
Carthamus tinctorius,1,0.4645,0.0369
Scrophularia striata,0,0.3057,0.0377
Cinnamomum camphora,0,0.43,0.0258
Vitis vinifera,0,0.2337,0.0395
Gymnosporia senegalensis,0,0.527,0.0358
 Hypericum  carinatum,0,0.6073,0.0309
Zingiber zerumbet ,0,0.3096,0.018
Achillea millefolium,0,0.293,0.0194
Radix Paeoniae Alba,0,0.1585,0.0224
Bauhinia variegata,0,0.1967,0.0292
Ficus carica,0,0.3109,0.0293
Mentha piperita,0,0.4784,0.0372
Lupinus angustifolius,1,0.5237,0.0385
Thymus carnosus ,0,0.3013,0.026
Thymus camphoratus,0,0.2678,0.0277
Agrimonia pilosa,0,0.3093,0.0143
Tanacetum vulgare L,1,0.3114,0.0301
Santolina impressa,0,0.195,0.0156
Artemisia fragrans (A. fragrans),0,0.3826,0.0304
Chamaecyparis formosensis,0,0.17,0.0136
Brasenia schreberi,0,0.3295,0.02
Magnolia grandiflora ,0,0.1703,0.0208
Syzygium cumini,1,0.7622,0.021
Ocimum gratissimum,1,0.6318,0.0342
Piper claussenianum,1,0.7099,0.0316
Azadirachta indica ,1,0.5646,0.0439
Vernonia amygdalina,0,0.6044,0.0342
Mimosa caesalpiniifolia,1,0.6881,0.0306
Centella asiatica Linnaeus,1,0.7189,0.0258
Larrea divaricata,1,0.6397,0.021
Moringa oleifera,0,0.484,0.0287
Punica granatum,0,0.6634,0.0334
Centaurium erythraea,0,0.7004,0.0256
Gynura procumbens,0,0.5799,0.0332
 Tamarindus indica ,0,0.4605,0.0178
Buchanania lanzan,0,0.3618,0.0362
Anthemis wiedemanniana,0,0.2348,0.024
Oenanthe crocata,0,0.1948,0.021
Laurencia Dendroidea,0,0.3348,0.0118
Centella asiatica (CA),0,0.4766,0.0319
Morinda citrifolia ,1,0.6231,0.0226
 Artemisia dracunculus ,1,0.5458,0.0282
