,mean,std,Brier_class_prior
AUC,0.8195725670127988,0.010550032789393796,0.24730508525187372
AP,0.7605638905884982,0.009260066331689357,0.24730508525187372
Brier,0.1794674148721112,0.003636838725704823,0.24730508525187372
LogLoss,0.5415997950195048,0.008561365540513847,0.24730508525187372
ECE_5qbins,0.0863728644994518,0.011713362081319548,0.24730508525187372
Cal_slope,1.60209288739762,0.08696742856659595,0.24730508525187372
Cal_intercept,0.10930666004697327,0.029419531269633842,0.24730508525187372
P_min,0.0804131603376459,0.0063968818196791085,0.24730508525187372
P_max,0.873809481150589,0.014527081789651227,0.24730508525187372
P_mean,0.4478397696952253,0.002673165203930513,0.24730508525187372
F1_t0.39,0.7405586359707469,0.01687716313325296,0.24730508525187372
F1_t0.50,0.6949872742245133,0.014470304346740757,0.24730508525187372
