Embedding,Classifier,CV_Seed,CV_F1_OptT,Opt_Threshold,Best_Params
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,42,0.7805128205128206,0.38,"{'C': 0.001, 'penalty': 'l2'}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,123,0.7961578441821603,0.39,"{'C': 0.001, 'penalty': 'l2'}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,456,0.7908589440504334,0.44,"{'C': 0.001, 'penalty': 'l2'}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,789,0.7879365079365078,0.3,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 2000}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,2024,0.7802914261026669,0.43,"{'C': 0.001, 'penalty': 'l2'}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,42,0.7117988394584139,0.37,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,123,0.7778749028749029,0.46,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,456,0.7594202898550725,0.45,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,789,0.7259170653907496,0.45,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,2024,0.7289506359273802,0.45,"{'n_estimators': 200, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,42,0.7697206542191345,0.38,"{'C': 0.1, 'gamma': 0.001}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,123,0.798169449598021,0.34,"{'C': 1, 'gamma': 0.001}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,456,0.7667655096226524,0.43,"{'C': 1, 'gamma': 0.001}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,789,0.7561904761904761,0.47,"{'C': 0.1, 'gamma': 0.001}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,2024,0.7851664015956166,0.47,"{'C': 0.1, 'gamma': 'scale'}"
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-Linear,42,0.7648601398601399,0.35,{'C': 0.001}
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-Linear,123,0.7901999602581746,0.33,{'C': 0.001}
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-Linear,456,0.7804515745692217,0.38,{'C': 0.001}
