Embedding,Classifier,CV_F1_mean,CV_F1_std,Opt_Threshold_mean
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Logistic Regression,0.7871515085569178,0.006830232309098435,0.388
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-RBF,0.7752024982451802,0.01650341326795541,0.418
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,SVM-Linear,0.7695211100041304,0.018393265054220332,0.362
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,XGBoost,0.7550280172639411,0.03246335043340611,0.374
BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Random Forest,0.7407923467013038,0.02703812035290664,0.43600000000000005
all-mpnet-base-v2,Random Forest,0.7152514274986038,0.01303638226982988,0.42000000000000004
all-mpnet-base-v2,SVM-RBF,0.7148693597148309,0.02634866289222417,0.40199999999999997
all-mpnet-base-v2,XGBoost,0.7140391252405811,0.01861414443048475,0.26
all-mpnet-base-v2,Logistic Regression,0.7112130189322644,0.023517923132046144,0.32999999999999996
all-mpnet-base-v2,SVM-Linear,0.7025602620060118,0.020038757677137815,0.384
