Group,Species,P_point,t=0.30,t=0.31,t=0.32,t=0.33,t=0.34,t=0.35,t=0.36,t=0.37,t=0.38,t=0.39,t=0.40,t=0.41,t=0.42,t=0.43,t=0.44,t=0.45,t=0.46,t=0.47,t=0.48,t=0.49,t=0.50
validation,Kalanchoe pinnata,0.765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
validation,Phyllanthus amarus,0.687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
validation,Empetrum nigrum L.,0.376,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
validation,Eremanthus crotonoides,0.437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Moroccan,Warionia saharae,0.406,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Moroccan,Ephedra altissima,0.394,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Moroccan,Ephedra fragilis,0.352,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan,Capparis spinosa,0.414,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Moroccan,Salvia clandestina,0.538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moroccan,Origanum compactum,0.409,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Moroccan,Lavandula dentata,0.345,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan,Origanum elongatum,0.458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Moroccan,Myrtus communis,0.588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moroccan,Euphorbia echinus,0.387,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan,Cannabis sativa,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
